term_en,term_zh,category,definition_en,context,notes
Unified Streaming Theory,统一流理论,Concept,Formal framework for stream computation theory,Struct/01-foundation,Core theoretical framework
Universal Stream Tuple Model,通用流元组模型,Model,Unified data model for streaming systems,Struct/01-foundation,USTM abbreviation
Process Calculus,进程演算,Theory,Formal language for describing concurrent processes,Struct/01-foundation,"CCS CSP π-calculus"
Actor Model,Actor模型,Model,Concurrency model based on message-passing actors,Struct/01-foundation,Akka Pekko implementation
Dataflow Model,Dataflow模型,Model,Computation model based on data dependencies,Struct/01-foundation,Google Dataflow
Communicating Sequential Processes,CSP,Theory,Process algebra for concurrent systems,Struct/01-foundation,Hoare's CSP
Petri Net,Petri网,Model,Graphical modeling tool for distributed systems,Struct/01-foundation,Place/transition nets
Session Types,会话类型,Type Theory,Types for structured communication protocols,Struct/01-foundation,Binary/multiparty session types
Watermark,水位线/水印,Mechanism,Timestamp marker for event time progress,Flink/02-core-mechanisms,Monotonic timestamp
Checkpoint,检查点,Mechanism,Periodic state snapshot for fault tolerance,Flink/02-core-mechanisms,Distributed snapshot
Exactly-Once,精确一次,Semantics,Guaranteed message processing semantics,Flink/02-core-mechanisms,End-to-end consistency
At-Least-Once,至少一次,Semantics,Minimum message delivery guarantee,Flink/02-core-mechanisms,Retry-based delivery
At-Most-Once,至多一次,Semantics,Maximum message delivery guarantee,Flink/02-core-mechanisms,No retry semantics
Determinism,确定性,Property,Same input produces same output,Struct/02-properties,Stream processing property
Consistency Hierarchy,一致性层级,Concept,Levels of consistency guarantees,Struct/02-properties,From eventual to strong
Event Time,事件时间,Time Concept,Time when event occurred,Flink/02-core-mechanisms,vs Processing Time
Processing Time,处理时间,Time Concept,Time when event is processed,Flink/02-core-mechanisms,Wall-clock time
Ingestion Time,摄取时间,Time Concept,Time when event enters system,Flink/02-core-mechanisms,Hybrid time semantic
Window,窗口,Operation,Bounded subset of streaming data,Flink/03-sql-table-api,Tumbling/Sliding/Session
Tumbling Window,滚动窗口,Window,Fixed-size non-overlapping windows,Flink/03-sql-table-api,Fixed time intervals
Sliding Window,滑动窗口,Window,Fixed-size overlapping windows,Flink/03-sql-table-api,With slide interval
Session Window,会话窗口,Window,Dynamic gaps-based windows,Flink/03-sql-table-api,Activity-based grouping
Trigger,触发器,Mechanism,Policy for window result emission,Flink/03-sql-table-api,When to fire
Evictor,驱逐器,Mechanism,Policy for element removal from window,Flink/03-sql-table-api,Pre/post eviction
Allowed Lateness,允许延迟,Configuration,Grace period for late data,Flink/03-sql-table-api,Late data handling
Side Output,侧输出,Feature,Output stream for special handling,Flink/03-sql-table-api,Alternative to exceptions
State,状态,Concept,Maintained data across events,Flink/02-core-mechanisms,Keyed/Operator state
Keyed State,键控状态,State,Partitioned by key,Flink/02-core-mechanisms,Per-key storage
Operator State,算子状态,State,Per-parallel-instance state,Flink/02-core-mechanisms,Non-partitioned
State Backend,状态后端,Storage,State storage implementation,Flink/02-core-mechanisms,"Memory FS RocksDB"
Savepoint,保存点,Feature,Manual triggered consistent checkpoint,Flink/02-core-mechanisms,Version migration
Backpressure,反压,Mechanism,Flow control for slow consumers,Flink/02-core-mechanisms,Automatic throttling
Barrier,屏障,Mechanism,Checkpoint coordination marker,Flink/02-core-mechanisms,Chandy-Lamport algorithm
Alignment,对齐,Process,Barrier synchronization in streams,Flink/02-core-mechanisms,Aligned vs unaligned
Async Checkpoint,异步检查点,Optimization,Non-blocking state snapshot,Flink/02-core-mechanisms,Incremental checkpoint
Incremental Checkpoint,增量检查点,Optimization,Delta state persistence,Flink/02-core-mechanisms,Size reduction
Chandy-Lamport Algorithm,Chandy-Lamport算法,Algorithm,Distributed snapshot algorithm,Struct/04-proofs,Checkpoint foundation
Lamport Timestamp,Lamport时间戳,Mechanism,Logical clock for event ordering,Struct/04-proofs,Causal ordering
Vector Clock,向量时钟,Mechanism,Logical clock capturing concurrency,Struct/04-proofs,Partial ordering
Happens-Before,先于关系,Relation,Causal ordering between events,Struct/04-proofs,Lamport's definition
Causality,因果关系,Concept,Cause-effect relationship in events,Struct/02-properties,Event ordering
Bisimulation,互模拟,Equivalence,Behavioral equivalence of processes,Struct/03-relationships,Strong/weak bisimulation
Trace Equivalence,迹等价,Equivalence,Same observable behavior,Struct/03-relationships,Linear time
Testing Equivalence,测试等价,Equivalence,Same testing behavior,Struct/03-relationships,May/must testing
Type Safety,类型安全,Property,Well-typed programs don't go wrong,Struct/02-properties,Static guarantee
Subject Reduction,主题规约,Property,Type preservation under reduction,Struct/04-proofs,Type system soundness
Progress,进展性,Property,Well-typed terms don't get stuck,Struct/04-proofs,No deadlock guarantee
Deadlock Freedom,无死锁,Property,System cannot reach deadlocked state,Struct/04-proofs,Liveness property
Liveness,活性,Property,Good things eventually happen,Struct/02-properties,vs Safety
Safety,安全性,Property,Bad things never happen,Struct/02-properties,Invariant preservation
Invariant,不变式,Property,Condition preserved by system,Struct/04-proofs,Safety specification
Temporal Logic,时序逻辑,Logic,Logic for reasoning about time,Struct/07-tools,TLA+ LTL CTL
TLA+,TLA+,Language,Temporal Logic of Actions,Struct/07-tools,Lamport's specification language
Coq,Coq,Tool,Interactive theorem prover,Struct/07-tools,Proof assistant
Iris,Iris,Framework,Separation logic framework,Struct/07-tools,Concurrent reasoning
Model Checking,模型检验,Method,Automatic verification of finite systems,Struct/07-tools,State space exploration
Fuzzing,模糊测试,Method,Randomized input testing,Struct/07-tools,Test generation
